,t (Î¼s),B=0.0_mT,B=2.0_mT,B=4.0_mT,B=6.0_mT,B=8.0_mT,B=10.0_mT
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.10050251256281,0.9787166407634,0.97887204149166,0.9790326489842,0.97929605307493,0.97965877143954,0.98012019894465
2,0.20100502512563,0.91706287113011,0.91847188221137,0.92145359477089,0.92621149497265,0.93245071094378,0.93981300926327
3,0.30150753768844,0.82138251146437,0.82724938070038,0.84160300745677,0.86322061532899,0.8891163097158,0.91601409348297
4,0.40201005025126,0.70145297315786,0.71771114352054,0.75851261539321,0.81503083636796,0.8742562821491,0.92479831912964
5,0.50251256281407,0.56938758154019,0.60436703272614,0.69036304312171,0.79700172271817,0.88990429712559,0.9490308290778
6,0.60301507537688,0.43828423054267,0.50141247698848,0.6495654868196,0.8093002842532,0.91792114208717,0.96225411468459
7,0.7035175879397,0.32077866126388,0.42056581196963,0.63999817255828,0.83925493883043,0.9368722561168,0.95729027827436
8,0.80402010050251,0.22767064040942,0.36943624278491,0.65709017837716,0.86963854540399,0.93801773960812,0.94795003369645
9,0.90452261306533,0.16678104281684,0.35068258791075,0.69042123445697,0.88768604873729,0.92825199427938,0.94781325359446
10,1.0050251256281,0.14216871481733,0.36206161947877,0.72768885378834,0.89004759101079,0.92045267229962,0.95459376635817
11,1.105527638191,0.15379172228783,0.39729220841133,0.75856904606665,0.88191202933641,0.9215760947689,0.95647591677998
12,1.2060301507538,0.1976437116422,0.44751326213889,0.77723618384252,0.8720270496216,0.92837489338887,0.94886971293052
13,1.3065326633166001,0.26633930437835,0.50301851869962,0.78295880674272,0.86718250782151,0.9324155714493,0.94028067732143
14,1.4070351758794,0.35006966441108,0.55492584276792,0.77895530196416,0.86917865754211,0.92844473427881,0.94151912283973
15,1.5075376884422,0.43780699939398,0.59648335547275,0.77027023288497,0.87521373559597,0.91884093389021,0.95219604378211
16,1.608040201005,0.51860979161163,0.62381519868599,0.76162673246887,0.88056848195075,0.91126518920236,0.96067706617747
17,1.7085427135678,0.58287203547407,0.63604071948008,0.7560095946161,0.88159520214471,0.91215174824863,0.9575927073418
18,1.8090452261307,0.62337039653887,0.63483235981843,0.75428524928611,0.87746288513918,0.92139148673166,0.94701963634324
19,1.9095477386935,0.63599133125538,0.62358172823419,0.75569398940047,0.87018172154409,0.93227050213863,0.94177606018597
20,2.0100502512563,0.62006201346845,0.60640057704534,0.75875335733253,0.8633281795086,0.93670644969281,0.94807692477077
21,2.1105527638190997,0.57825897591882,0.58718602804228,0.76207777343766,0.86025488185485,0.93174352177329,0.95812094047086
22,2.2110552763819,0.51612034833226,0.56893245482434,0.76480655936467,0.8625262276776,0.9220374809581,0.95980605859063
23,2.3115577889447,0.44123500699691,0.55339160257737,0.7666080409334,0.86914322715913,0.91604053492755,0.95137894613833
24,2.4120603015074997,0.36221909495031,0.5410896156371,0.76744323880672,0.87689896053573,0.91887782967433,0.94277639429065
25,2.5125628140704004,0.28761288589493,0.5316270821751,0.76733667029468,0.88184200532345,0.9280366596619,0.94285999061254
26,2.6130653266332002,0.2248364301073,0.52413380845676,0.76631350914662,0.88129409162442,0.93573541416998,0.94947022133041
27,2.713567839196,0.17933060252516,0.51773325593328,0.76449961768425,0.87541701040406,0.9358156372416,0.95398387646286
28,2.8140703517588,0.15398300231246,0.51189203595,0.76224968781486,0.86735292042758,0.92881114584647,0.95246000187754
29,2.9145728643216002,0.14889943221961,0.50657833629597,0.760144181353,0.8616557940302,0.92070544516558,0.94865824410983
30,3.0150753768844,0.16153656729367,0.50221460092954,0.75878539417668,0.86177757929699,0.91705198563412,0.94730983336088
31,3.1155778894472,0.18716572644774,0.49946749204568,0.75846760456174,0.86808001983328,0.91840336009276,0.94851758788216
32,3.2160804020100997,0.21959712579381,0.49895799452461,0.75890626387124,0.87763439418763,0.92113837788949,0.94974756665208
33,3.3165829145729,0.25206355493127,0.50098815729623,0.75921691245571,0.88597518965819,0.9220064094189,0.95018461475296
34,3.4170854271357,0.2781456068843,0.50536745565476,0.75822442386091,0.88969250912433,0.92122913873894,0.95080968460618
35,3.5175879396985,0.29261912577625,0.51138712937325,0.75501042601283,0.88818916643508,0.92123539840784,0.95173607836859
36,3.6180904522613,0.29211914873423,0.51794600600065,0.74946157753342,0.88352423766927,0.92315677172471,0.95195301723881
37,3.7185929648241003,0.27554115137684,0.52378888200888,0.74254424028913,0.87861171930283,0.92537827600703,0.95142712164554
38,3.8190954773869,0.24413613316085,0.52778950965814,0.7361303661565,0.87516887457614,0.92563026644491,0.9514331874043
39,3.9195979899497,0.20129622148413,0.52920132046873,0.73239517708872,0.8728923076874,0.92388806255723,0.95234683428806
40,4.0201005025126,0.15206683636465,0.52781119604835,0.73300915861206,0.87033569037768,0.92256425037177,0.95256313362354
41,4.1206030150754,0.10245509802403,0.52396030416886,0.73845764937511,0.86664453138583,0.92377237513852,0.95051342771124
42,4.2211055276381995,0.058628005879641,0.51843267716694,0.74778397549882,0.86267491579441,0.92682994902854,0.94706228253046
43,4.321608040201,0.026105257345328,0.51224671109402,0.75887866225259,0.86055240220116,0.92883560464166,0.94502791095262
44,4.4221105527638,0.0090493581847756,0.50640816690983,0.76920427736046,0.86198986307621,0.92768105392857,0.94634590674334
45,4.5226130653266,0.00974059578714,0.50169002444886,0.77665858796724,0.86669521740652,0.92424626891093,0.9500137729223
46,4.6231155778894,0.028298796166305,0.49849377735779,0.78022329048249,0.87217867239709,0.92153631172483,0.95285897336185
47,4.7236180904523,0.062681117886685,0.49682217376077,0.7801465557131,0.87522948163714,0.92178941471176,0.95247472906149
48,4.8241206030151,0.1089497744464,0.49636211971284,0.77761791489154,0.87406608970057,0.92450822422899,0.94971160078667
49,4.9246231155779,0.16177004230045,0.49664698407016,0.77411658362155,0.86962643604003,0.92714799366251,0.94803321654774
50,5.0251256281407,0.21507134716239,0.49724752494105,0.77074767490084,0.86505367099585,0.927483719931,0.94972633138134
51,5.1256281407035,0.26278588040732,0.49793496240445,0.76786607646344,0.86370192534558,0.92534164835353,0.95289082551378
52,5.2261306532663,0.29957206628813,0.49876930434126,0.76513574761161,0.86700663343417,0.92239907552822,0.95334547249469
53,5.3266331658291,0.32143479182874,0.50008786375455,0.76195706230286,0.87361855743485,0.92064342433912,0.94992570029375
54,5.427135678392,0.32616965213285,0.50239691410593,0.75801881285901,0.88029746692486,0.92094176942658,0.94652932135362
55,5.5276381909548,0.31358227329051,0.50619616300748,0.75367664413813,0.88388278601929,0.92264412691667,0.9475832028014
56,5.6281407035176,0.28546279849203,0.51178429651642,0.74994984596938,0.88302898936738,0.9242107216981,0.95229809331493
57,5.7286432160804,0.24532607760386,0.51909965050132,0.7481189424945,0.87868623930492,0.92434236936293,0.95531652225336
58,5.8291457286432005,0.19795616991406,0.52764185474783,0.74910613608613,0.8732242718394,0.92296327447982,0.95320345930917
59,5.929648241206,0.14881608307396,0.53650037674432,0.75293484217547,0.86895070437527,0.92140126754842,0.94847081276327
60,6.0301507537688,0.10339770656107,0.54448943270997,0.75853955272232,0.86700858448885,0.92142828424011,0.94618312917912
61,6.1306532663316995,0.066591262465655,0.55036238691796,0.76404453828386,0.8671987662842,0.9236772469892,0.94792648472064
62,6.2311557788945,0.042148152570405,0.55305898068312,0.76741978353437,0.86857388310434,0.92676826653434,0.95073323468419
63,6.3316582914573,0.032296909431658,0.5519302032224,0.7672509362638,0.87021102506858,0.92820105197514,0.95141371512578
64,6.4321608040201,0.037551171455616,0.546890174481,0.76330404738405,0.87163161930586,0.92652725437766,0.95012519993327
65,6.5326633165829,0.056724029830749,0.53846070155657,0.75664924358698,0.87274156698058,0.92287496037801,0.94921178767442
66,6.6331658291457,0.087137906508001,0.52769809412642,0.74929132230372,0.87354255867289,0.92021922835399,0.94987909889038
67,6.7336683417084995,0.12499641173146,0.51601761509942,0.74345746194268,0.87394688131559,0.92086084326936,0.9511011890469
68,6.8341708542714,0.16586703767771,0.50495260755482,0.74082555544119,0.87382631363852,0.92439820433108,0.95133614746781
69,6.9346733668342,0.20521295358237,0.49589808324873,0.74198751945719,0.87317229663512,0.9281021603459,0.95035328283535
70,7.035175879397,0.23890950573867,0.48988986059645,0.7463322536231,0.87216425222936,0.92930691806819,0.94925722437721
71,7.1356783919598,0.26368620203461,0.48746043835841,0.75235620430579,0.87107093081812,0.92753575779449,0.94919417242395
72,7.2361809045226,0.27744693002438,0.48859448870787,0.7582441512727,0.8700922640545,0.92449508705352,0.95020718048398
73,7.3366834170854,0.27943810104048,0.49278473119751,0.76247641026892,0.86930390904228,0.92225674576554,0.95122838992457
74,7.437185929648201,0.27025400541871,0.49916820069804,0.76423931270154,0.86874930033531,0.92158136071135,0.95121930088397
75,7.5376884422111,0.25168838979449,0.50670810715191,0.76352354914992,0.86855854416858,0.92184995765977,0.95035660354571
76,7.6381909547739,0.22645874177971,0.51438050289693,0.76093462395103,0.86892874811844,0.92223504185315,0.94983452121841
77,7.7386934673367005,0.19784302268342,0.52132849041087,0.75734851234614,0.86993040516969,0.9226156186582,0.95033265616646
78,7.8391959798995,0.16927629273949,0.52695813949089,0.75358151601481,0.87129544868048,0.9233598553355,0.95107783052886
79,7.9396984924623,0.1439562531088,0.53096633181937,0.75020110528631,0.87241271727911,0.92451455012971,0.95086990606042
80,8.0402010050251,0.12450239512988,0.5333072770946,0.74751417872477,0.87262036383646,0.92550302073128,0.94973474910302
81,8.1407035175879,0.11270411682695,0.53411752126604,0.74567837210327,0.87163776222578,0.92567122917565,0.94887913652945
82,8.2412060301508,0.10938030348483,0.53362609670917,0.74483270216553,0.86982653841919,0.92498605234053,0.94904656445678
83,8.341708542713599,0.11435826680416,0.53207597113864,0.74515357490307,0.86805471422451,0.92407683451142,0.94968046701685
84,8.442211055276399,0.126565475166,0.52967592350792,0.74679896793903,0.86721445947943,0.923618841903,0.94998316868938
85,8.5427135678392,0.14421491300614,0.52659074181279,0.74977440013765,0.86770537194499,0.92375902675402,0.95008563201628
86,8.643216080402,0.16505555262857,0.52296540203822,0.75380266775877,0.86923441044893,0.92412824466265,0.95055871270716
87,8.7437185929648,0.18665418083776,0.51896888088624,0.75828273550497,0.87106119886256,0.92428924735988,0.9512234023572
88,8.8442211055276,0.20667399982462,0.51483793884394,0.76238234952631,0.87249793904323,0.92409110795496,0.95127253502112
89,8.9447236180905,0.22311875704781,0.51090171227207,0.76524558068506,0.87329870646605,0.92366770890931,0.95053859843552
90,9.0452261306533,0.23451790449226,0.50757386254065,0.76624152783614,0.87367415165081,0.92326060209288,0.94989423200485
91,9.1457286432161,0.2400373390075,0.50530858109418,0.76515899109183,0.87396254804044,0.9231108854564,0.95011314407099
92,9.246231155778899,0.2395103371703,0.5045273279184,0.76227242992767,0.87424757957646,0.92340376090349,0.95083513925019
93,9.346733668341699,0.23339306150061,0.50553201410316,0.75825599711179,0.87424015728037,0.92413539615607,0.95105112203497
94,9.447236180904499,0.22265732220756,0.5084251881217,0.75398103125459,0.87352173357186,0.92498076211475,0.95033809968153
95,9.547738693467299,0.20863925550955,0.51305747456943,0.75027297641382,0.87195511054781,0.92541372803863,0.94925107552551
96,9.6482412060302,0.19286572005453,0.51901717608845,0.7477110387905,0.8699308487166,0.92511318497035,0.94864823079002
97,9.748743718593,0.17688041102141,0.52566794010295,0.74652835742959,0.86823561190454,0.92428930201201,0.94894998362437
98,9.8492462311558,0.16208921861182,0.53222991402039,0.7466262987227,0.86760951447808,0.92353167600707,0.94995783344352
99,9.949748743718601,0.14963979422838,0.53789035027378,0.74767410958698,0.8682904869029,0.9232659039156,0.9510593585841
100,10.050251256281,0.14034442066008,0.54192333783623,0.7492415862795,0.8698567658315,0.92337871628326,0.9516002743667
101,10.150753768844,0.13464898576607,0.54379657012164,0.75091418642822,0.87147171453674,0.92343440416555,0.95133898319405
102,10.251256281407,0.13264497252865,0.54324605154816,0.75236166567418,0.87236453944008,0.92325174825146,0.950625765978
103,10.351758793970001,0.13411660315508,0.54030653550224,0.75335941620711,0.87223779806316,0.92317879092269,0.9499927747791
104,10.452261306533,0.13861209595612,0.53529457054481,0.75378202557553,0.87136533591884,0.92371724875745,0.94959666689165
105,10.552763819095,0.14552663721388,0.52875020495752,0.7535929561293,0.87036253622192,0.92488080823526,0.94927885743016
106,10.653266331658001,0.15418509940062,0.52135066955967,0.75284363629037,0.86981199604664,0.92599878422145,0.94911711505405
107,10.753768844221,0.16391448290847,0.51381329880211,0.75167824214584,0.86998131602176,0.92622413063667,0.94951216071188
108,10.854271356784,0.1740990783142,0.50680499222561,0.75032810681591,0.87076461446594,0.92526934133675,0.95052762461792
109,10.954773869347001,0.18421490033578,0.50087202217092,0.74907963581868,0.87181540438496,0.92366820187404,0.9514612398311
110,11.05527638191,0.19384347834527,0.49639809220905,0.7482121602666,0.87273817960482,0.92235236155486,0.95145582787867
111,11.155778894472,0.20266810873242,0.49359182327626,0.74792045444932,0.87322242301082,0.92197809115259,0.95048300143676
112,11.256281407035,0.21045781191334,0.49249890649689,0.74825035536589,0.87309202686642,0.92258125670741,0.94942785144655
113,11.356783919598,0.21704528395758,0.49303027739361,0.74907670877482,0.87231549432408,0.92372615227541,0.94916463072597
114,11.457286432161,0.22230505796229,0.49499647516915,0.75013876656333,0.87102143551473,0.92486504674685,0.94975265662782
115,11.557788944724,0.22613702559275,0.49813976738923,0.75112478644844,0.86950868475053,0.92558183068249,0.95056024302343
116,11.658291457286,0.22845867734177,0.50215891888626,0.75177556715197,0.8681988728193,0.92566458429538,0.95094117264599
117,11.758793969849,0.22920724582455,0.50672553473373,0.75196657746977,0.86750235044257,0.92513371234981,0.95069144215046
118,11.859296482412,0.22835075093997,0.51149449762755,0.75173562749397,0.86764232960783,0.92426294447398,0.95006353276507
119,11.959798994975,0.225905091616,0.51611317095869,0.75124520297836,0.86854050363131,0.92348672655898,0.94954240917852
120,12.060301507538,0.2219530737564,0.52023424235069,0.75069620968096,0.86985013778359,0.92315394528743,0.9495176352831
121,12.160804020100999,0.21666076811873,0.5235354035522,0.75023078819182,0.87113112699348,0.92330036403405,0.94997517767281
122,12.261306532663,0.21028689286969,0.52574608887845,0.74986667800364,0.87206208037625,0.92366630888446,0.95049784068152
123,12.361809045226,0.20318193169524,0.52667815435663,0.74949200720684,0.87255597115661,0.92395822513122,0.95067050124553
124,12.462311557789,0.19577524770154,0.52625468288764,0.74892317337205,0.87271475634277,0.92409040537065,0.95047104774308
125,12.562814070352,0.18855028581503,0.52452986884082,0.74800102303525,0.87267488353998,0.92416835928811,0.95018718134065
126,12.663316582915,0.18200979278495,0.52169359242381,0.74668369226232,0.87247141881188,0.92427307346965,0.95002412605549
127,12.763819095477,0.17663455653147,0.51805676433958,0.74509539212631,0.87202597384351,0.92432643504383,0.94995633280248
128,12.86432160804,0.17284025576269,0.51401725704929,0.74350852064343,0.8712611502016,0.92420104615739,0.94993991639477
129,12.964824120603,0.17093747247176,0.51001036497765,0.7422638554744,0.87024190664854,0.92392856250355,0.95004995940158
130,13.065326633166,0.17109970156627,0.50645126984613,0.74165862176299,0.86922101590607,0.92373386033881,0.95030203086206
131,13.165829145728999,0.1733433350059,0.50367908032251,0.7418447024982,0.86853840672235,0.92382709471896,0.95049243635307
132,13.266331658291,0.17752222793547,0.50191215388321,0.74277457398143,0.86843572348974,0.92417417999511,0.95038930705611
133,13.366834170854,0.18333776023968,0.50122253066501,0.74421340003327,0.86891272927953,0.92449969546751,0.95004186055546
134,13.467336683416999,0.19036351306633,0.50153380841114,0.74581053104395,0.86972361995098,0.92452445828264,0.94976202126738
135,13.56783919598,0.19808201514173,0.50264241481639,0.74720271081024,0.8705133013989,0.92419788573628,0.9497921677061
136,13.668341708543,0.20592968195423,0.50425791618039,0.748112366985,0.87100073061432,0.92371369353987,0.9500830875054
137,13.768844221106,0.21334522589767,0.50605463155324,0.74840975297161,0.8710945971951,0.92333455297403,0.95039896792036
138,13.869346733668,0.21981654390987,0.50772506114419,0.74812384403225,0.87088505374555,0.92321850319115,0.95054152855152
139,13.969849246231,0.22492140294937,0.50902578296422,0.74740638031248,0.87054390594477,0.92337899584387,0.95045259102115
140,14.070351758794,0.22835808229065,0.50980840652406,0.74646851130838,0.87021792579792,0.92373946947931,0.95020642055601
141,14.170854271357001,0.22996337330463,0.51003141503693,0.74551512875935,0.86998353139257,0.92417637263661,0.94997237092122
142,14.27135678392,0.22971681733401,0.50975255377681,0.74469759037153,0.8698686844174,0.92452845666094,0.94991640851691
143,14.371859296481999,0.22773159518895,0.50910503389192,0.7440945591062,0.86989393343315,0.92463750581604,0.95005361881429
144,14.472361809045001,0.22423388565762,0.50826351902069,0.74371855222861,0.87008012848236,0.92444671740613,0.95022202650783
145,14.572864321608,0.2195336284606,0.50740718579546,0.74353743822444,0.87041264634678,0.92407328653402,0.95026343878496
146,14.673366834171,0.21399034530553,0.50668695400885,0.74349802836219,0.87080070428362,0.92375164922751,0.95020478793475
147,14.773869346734001,0.20797793128864,0.50620244309958,0.74354253477186,0.87108288665245,0.92366439180358,0.95019546770532
148,14.874371859296001,0.20185212621645,0.50599175961223,0.74361519050775,0.87109577241448,0.92380736656836,0.95028812019058
149,14.974874371859,0.19592376482645,0.50603442932597,0.74366225844514,0.87076980308554,0.92401662381712,0.95036977838468
150,15.075376884422,0.19043998498714,0.50626524251942,0.74363144382341,0.87018822560029,0.92412688367369,0.95032450529155
151,15.175879396985,0.18557447307396,0.50659495533407,0.743475694644,0.86956426302341,0.92410465894084,0.95018416003378
152,15.276381909548,0.18142668846857,0.50693296211104,0.7431626948646,0.86914462467224,0.924038635671,0.9500739059158
153,15.376884422111,0.17802897248527,0.50720726913452,0.74268721518479,0.86909506071809,0.92402346508077,0.9500633033963
154,15.477386934673,0.17535962799648,0.50737819149725,0.7420809557858,0.8694324533437,0.92406944140834,0.9501244342641
155,15.577889447236,0.17335953783417,0.5074438398092,0.741414649118,0.87003450085703,0.92411728755332,0.95019904241805
156,15.678391959799,0.17194971413325,0.50743727103826,0.74078971860792,0.87070915157339,0.92411431728342,0.95024316298319
157,15.778894472362,0.17104733433177,0.50741677610479,0.74032043763295,0.8712761593269,0.92405823482243,0.95022061634753
158,15.879396984925,0.1705782784251,0.50745188627125,0.74011073237346,0.87161891757384,0.92397611106157,0.95012138544708
159,15.979899497487,0.17048485864442,0.5076081568844,0.74023137150358,0.87169488979909,0.92388640577686,0.95000414405217
160,16.08040201005,0.17072822721108,0.50793363148162,0.74070295886136,0.87152100338508,0.92379571816573,0.94997041991255
161,16.180904522612998,0.17128575171256,0.5084492251154,0.74148835775533,0.8711567860881,0.92372177985411,0.95006120744201
162,16.281407035176,0.17214435749172,0.50914429493428,0.74249580866876,0.87069400148118,0.92369720851613,0.95019973226562
163,16.381909547739,0.17329136623128,0.5099776159224,0.74359187294123,0.87024459339489,0.92373901584407,0.95026265660701
164,16.482412060302,0.17470465075315,0.51088305364522,0.74462186300231,0.86991582048375,0.92382004605715,0.95019921171239
165,16.582914572864,0.17634395205492,0.51177856769483,0.74543457771131,0.86977459863358,0.92388200519502,0.9500691613843
166,16.683417085427,0.17814497450527,0.51257685666603,0.7459076834733,0.86981903955822,0.92388239603662,0.94998160491242
167,16.78391959799,0.18001742959671,0.5131959608951,0.74596976894472,0.86997801200807,0.92382892802013,0.9500106252813
168,16.884422110553,0.18184760390772,0.51356840808924,0.74561502850409,0.87014462161823,0.92376937432996,0.95014621539068
169,16.984924623116,0.18350536543315,0.51364792159377,0.74490703195161,0.87022738260066,0.92375139001087,0.9502972899901
170,17.085427135678,0.18485488211861,0.51341320635946,0.74396948069846,0.87019045772337,0.92379114944337,0.95035398405233
171,17.185929648241,0.18576778959376,0.51286879244157,0.74296431981211,0.87006121837645,0.9238707974304,0.95027980676357
172,17.286432160804,0.18613717850832,0.51204328567549,0.7420606665233,0.86990439857062,0.92395350357656,0.9501461150988
173,17.386934673366998,0.1858906190861,0.51098561685117,0.74140086202059,0.8697820126812,0.92399883568872,0.95005773875454
174,17.48743718593,0.18500051728699,0.50975998958458,0.74107150822465,0.86972360690026,0.92397758220415,0.95005109500793
175,17.587939698492,0.18349039022222,0.50844021990532,0.74108681953859,0.86972054402296,0.92389145292817,0.95008941463103
176,17.688442211054998,0.18143611875486,0.50710406691319,0.74138884395733,0.86974076686948,0.92378625512407,0.95014401096147
177,17.788944723618,0.17896182229012,0.50582800824372,0.74186472974007,0.86974967871313,0.92373451503653,0.95022639599646
178,17.889447236181,0.17623063147419,0.5046827500863,0.74237651737846,0.86972430367734,0.92378498405516,0.95032161198685
179,17.989949748744,0.17343123202636,0.50372960780291,0.74279542016997,0.8696573987047,0.92391719774672,0.95034578534032
180,18.090452261307,0.17076154601714,0.5030177712575,0.74303139245709,0.86955621546272,0.92404911219701,0.95023298803739
181,18.190954773869,0.16841124838505,0.50258239161638,0.74305037957702,0.86944101859164,0.92410101464434,0.95005199832397
182,18.291457286432,0.16654494962855,0.50244339703219,0.74287547812521,0.86934302437526,0.92406007913346,0.94996991987942
183,18.391959798995,0.16528779796164,0.50260495721366,0.74257304443445,0.86929718010295,0.92398311960724,0.95006999912741
184,18.492462311558,0.16471497839973,0.50305555694434,0.74222901739306,0.86932755490868,0.92393483413559,0.95024364927842
185,18.592964824120997,0.16484614775248,0.50376868593086,0.74192307160771,0.86943076122831,0.9239249955053,0.95030440850075
186,18.693467336683,0.16564529691224,0.50470418520202,0.7417080841956,0.86956881711383,0.923908951093,0.95019572939401
187,18.793969849246,0.16702593997582,0.50581029066311,0.74160003378159,0.86968060276047,0.92384859603108,0.95004720029315
188,18.894472361808997,0.16886096183441,0.50702637319843,0.74157980541335,0.86971023918555,0.92376676704574,0.95002165353347
189,18.994974874371998,0.17099597546331,0.50828629509106,0.74160471631769,0.86963822808882,0.92373471622079,0.95013968818994
190,19.095477386935,0.17326469893019,0.50952220050291,0.74162503017722,0.86949635156834,0.92380207886009,0.95027446900176
191,19.195979899496997,0.17550469436598,0.51066845910922,0.74159992583184,0.86935488386121,0.9239386722006,0.95030140156606
192,19.296482412059998,0.17757183026711,0.51166541596651,0.74150833599843,0.86928686707839,0.92404770126077,0.95022512798588
193,19.396984924623,0.17935202637024,0.51246259196418,0.74135224184617,0.86932889053252,0.92404246501248,0.95015396954008
194,19.497487437186,0.18076918891002,0.51302104006818,0.74115257912803,0.86946115870402,0.92391971269964,0.95016693296107
195,19.597989949749003,0.1817886993106,0.5133146878686,0.7409400624932,0.86961887589948,0.92376584280666,0.9502274456303
196,19.698492462312,0.18241632688642,0.51333066342091,0.74074438993965,0.86972849218874,0.92369082792296,0.95023750667275
197,19.798994974874,0.18269293774898,0.5130687720109,0.74058524483391,0.86974760845831,0.92374495449705,0.95016521051323
198,19.899497487437,0.1826858125714,0.51254042420805,0.74046744638541,0.86968546887591,0.92388453733363,0.95009143904333
199,20.0,0.18247771891185,0.51176737421434,0.74038097755929,0.86959298838358,0.92400956418164,0.95011339690876
